AC	Agustina Carrizo
AG	Anthony Grant
AKW	Annkathrin Wett
AM	André Müller
AM2	Arjan Mossel
CB	Cecil H. Brown
DA	Darja Appelganz
DB	David Beck
DE	Dmitry Egorov
EK	Evgenia Korovina
HG	Helen Geyer
JB	Julia Bischoffberger
JML	Johann-Mattis List
KTR	K. Taraka Rama
MD	Mark Donohue
MP	Matthias Pache
MSD	Matthew S. Dryer
MU	Matthias Urban
OB	Oleg Belyaev
PB	Pamela Brown
PE	Patience Epps
PS	Paul Sidwell
PV	Pilar Valenzuela
RM	Robert Mailhammer
SS	Sebastian Sauppe
SW	Søren Wichmann
TVV	Tessa de Mol-van Valen
VV	Viveka Velupillai
ZM	Zarina Molochieva
